id,name,type,primary_muscle,equipment,difficulty,contraindications
face_pull,Face Pull,isolation,deltoids_posterior,cable; resistance_band,beginner,shoulder_impingement
glute_bridge,Glute Bridge,isolation,gluteus_maximus,bodyweight; dumbbell,beginner,none_known
dumbbell_floor_press,Dumbbell Floor Press,strength,pectoralis_major,dumbbell,beginner,shoulder_impingement
band_glute_ham_raise,Band Glute Ham Raise,strength,gluteus_maximus,resistance_band,intermediate,lower_back_pain
wall_sit,Wall Sit,isometric,quadriceps,bodyweight,beginner,knee_pain
cable_woodchop,Cable Woodchop,strength,obliques,cable,beginner,lower_back_pain
landmine_press,Landmine Press,strength,deltoids_anterior,landmine; barbell,beginner,shoulder_impingement
farmers_walk,Farmers Walk,strongman,core; forearms,dumbbell; kettlebell,beginner,none_known
battle_rope,Battle Ropes,conditioning,shoulders; core,battle_rope,beginner,shoulder_impingement
box_jump,Box Jump,plyometric,quadriceps,box,intermediate,knee_pain; ankle_instability
med_ball_slam,Medicine Ball Slam,power,core; lats,medicine_ball,beginner,lower_back_pain
sled_push,Sled Push,conditioning,quadriceps,weighted_sled,intermediate,knee_pain; heart_condition
assault_bike,Assault Bike,cardio,full_body,assault_bike,beginner,heart_condition; severe_asthma
rowing_ergometer,Rowing Ergometer,cardio,full_body,rowing_machine,beginner,lower_back_pain
treadmill_run,Treadmill Run,cardio,lower_body,treadmill,beginner,severe_knee_pain
elliptical,Elliptical Trainer,cardio,lower_body,elliptical,beginner,knee_pain
burpee,Burpee,conditioning,full_body,bodyweight,intermediate,wrist_pain; shoulder_impingement
mountain_climber,Mountain Climber,conditioning,core,bodyweight,beginner,wrist_pain
jumping_jack,Jumping Jack,cardio,full_body,bodyweight,beginner,knee_pain
high_knee,High Knees,cardio,hip_flexors,bodyweight,beginner,knee_pain
butt_kick,Butt Kicks,cardio,hamstrings,bodyweight,beginner,knee_pain
skater_hop,Skater Hop,conditioning,gluteus_medius,bodyweight,intermediate,ankle_instability
bench_dip,Bench Dip,strength,triceps_brachii,bench,beginner,shoulder_impingement; wrist_pain
concentration_curl,Concentration Curl,isolation,biceps_brachii,dumbbell,beginner,elbow_tendinitis
overhead_tricep_extension,Overhead Tricep Extension,isolation,triceps_brachii,dumbbell,beginner,elbow_tendinitis
hammer_curl,Hammer Curl,isolation,brachialis,dumbbell,beginner,elbow_tendinitis
calf_raise,Calf Raise,isolation,calves,bodyweight; dumbbell,beginner,none_known
donkey_kick,Donkey Kick,isolation,gluteus_maximus,bodyweight; resistance_band,beginner,none_known
fire_hydrant,Fire Hydrant,isolation,gluteus_medius,bodyweight,beginner,none_known
clam_shell,Clam Shell,isolation,gluteus_medius,resistance_band,beginner,none_known
bird_dog,Bird Dog,stability,core,bodyweight,beginner,lower_back_pain
superman,Superman,stability,erector_spinae,bodyweight,beginner,lower_back_pain
